unit,D1,D2,D3,W0,W1,W2,W3,W4,W5,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,true_frac,RUL,HI
0,14.695310011406562,11.732657281440042,9.27849413341035,-1.9192820365497445,0.02728500882481022,4.31734473891362,2.9850957523810178,3.883420056898898,1.3746917466910245,0.8793979748628286,0.7777919354289483,0.06603069756121605,1.1272412069680329,0.4675093422520456,-0.8592924628832382,0.36875078408249884,-0.9588826008289989,0.8784503013072725,-0.049925910986252896,-0.18486236354526056,-0.6809295444039414,0.7867647058823529,29,12.181469429017744
1,19.23940991187059,13.98346827757669,9.168769371237353,6.445412405144895,5.944817041577084,6.086682683272814,6.140947857508497,11.273427651096231,3.629239799331002,-0.5122427290715373,-0.8137727282478777,0.6159794225754956,1.1289722927208916,-0.11394745765487507,-0.840156476962528,-0.8244812156912396,0.6505927878247011,0.7432541712034423,0.543154268305195,-0.6655097072886943,0.23216132306671977,0.9696969696969697,4,14.64143525939245
2,8.410570515548201,5.572004501865319,4.431334282571617,4.084711168920482,2.2507076881714716,2.9153286757747496,3.941835157220418,-2.3234969798622025,1.0889568306328932,-0.4703726542927955,-0.6388778482433419,-0.27514225122668373,1.4949413112343959,-0.8658311156932432,0.9682783545914808,-1.6828697716158048,-0.33488502998577485,0.1627530651050056,0.5862223313592781,0.711226579792855,0.7933472351999252,0.4095940959409594,160,6.365229841550361
3,0.9411569792652573,1.3323619595633196,0.4147978986424899,-3.476181777031309,-3.0489844490279854,-2.407479665022378,1.8423594251437483,0.7781544011941519,2.4223332551857606,-0.42725264633653426,0.15853969107671423,0.6255903939673367,-0.3093465397202384,0.45677523755741145,-0.6619259410666513,-0.3630538465650718,-0.3817378939983291,-1.1958396455890397,0.4869724807855818,-0.46940234020272387,0.01249411872768743,0.07017543859649122,212,0.9006107491678458
4,4.057642287141055,2.2860206977992665,1.6578273287914203,-0.3671171583546834,0.6636231450585807,-4.159225524096311,-3.4385596394914844,-3.0653210592854294,-2.0889627050266677,0.3997742267234366,-0.9054790553600608,-0.3781625540393897,1.2992282977860654,-0.35626397106142593,0.7375155684670865,-0.933617680009877,-0.20543755786763002,-0.9500220549105812,-0.3390330759005625,0.8403081374573955,-1.7273204231923487,0.18055555555555555,236,2.8062113228336285
5,6.904402268998944,3.001965510927527,1.1642465517506513,1.883055189808275,0.07818853947525928,2.3646953007307783,1.7322231032369952,6.4720033406294135,0.9485997842475937,-1.023497492621865,0.17927563495631615,0.21999668397176517,1.3591875752404365,0.8351112459145785,0.35687105914950934,1.4633028912195618,-1.188763054322851,-0.6397515327497477,-0.9265759414055249,-0.38980980315576796,-1.3766861475563088,0.3333333333333333,166,4.011624526403032
6,11.951690346379488,6.396236608668943,4.5635878999278185,3.9840198032201513,5.557857964552708,9.033670935944926,11.785065658891554,4.286706560697555,0.07486390077397287,-2.132046280731309,0.2677114623438358,-0.812941095310326,-0.41535726017968533,-0.6120967990598081,-0.14079088641638526,1.0659802307876436,0.15704856744534462,-0.1586348370386883,-1.0356537528258116,-1.674682944704357,-0.4863079090733309,0.6086956521739131,90,8.068623491130824
7,6.805509461986887,5.264897395006299,3.4578231297270596,4.579424206828038,0.1333188781414092,-1.9236256254922084,-1.26414461293825,-0.5444725198483942,8.016614871064359,-0.8213866792243861,0.838489203736345,-0.9029271780870264,0.9315730128742441,0.38495096610586316,-0.1566378976580904,-0.040762526135434025,-0.6547876954293904,0.44607220148208054,-0.45498348034078,-1.2256057637672482,-1.2779375743196193,0.3262411347517731,95,5.339019942214763
8,19.538274929879822,13.20141019697292,8.80163434756987,5.347274337174976,8.40780114348782,5.147943422458916,3.257014225866135,7.8086620485470135,5.7760652337521865,1.535755991995992,0.18323443722190613,-1.2244690317205003,-1.368159199245665,1.6509279322312496,1.723665720783297,-0.17951921328260065,-0.38318732113598775,1.4614442922422022,-1.107045682043488,-0.8947270189558264,0.6433267946890444,0.8979591836734694,15,14.416223335314767
9,19.4299063818675,14.288059315653557,10.223875947492186,9.081202646088043,5.130511782852129,6.790573441977466,-1.291759240946175,4.712601856356539,2.329066251268279,-1.218813060423628,-0.8781523669287508,-0.33412344070081207,0.9159025423560131,-1.326392717739564,0.030631492594417446,-0.4841694333335785,-0.32767309436196085,1.0027578253046041,0.5381154370039261,1.3373981074427437,-0.15450567924990047,0.9717514124293786,5,15.125543131690723
